n,k,alpha,metric,rule,win_share,mean_regret
10,3,0.1,coord_max,Manhattan distance,0.054,0.016990661121990845
10,3,0.1,mean_linear,Discrete metric,0.0446,0.04682313221222064
10,3,0.1,mean_linear,Quadratic distance,0.8148,0.0012690413031316223
10,3,0.1,mean_linear,Manhattan distance,0.1406,0.013494966649039711
10,3,0.1,mean_skewed,Discrete metric,0.1298,0.04291357803895646
10,3,0.1,mean_skewed,Quadratic distance,0.836,0.0034881234935029808
10,3,0.1,mean_skewed,Manhattan distance,0.0342,0.01527488140603449
10,3,0.3,coord_avg,Discrete metric,0.2072,0.022894849763533103
10,3,0.3,coord_avg,Quadratic distance,0.7152,0.005555455824139849
10,3,0.3,coord_avg,Manhattan distance,0.0776,0.009319040778058209
10,3,0.3,coord_max,Discrete metric,0.0692,0.04342293534396968
10,3,0.3,coord_max,Quadratic distance,0.8246,0.001869905040940047
10,3,0.3,coord_max,Manhattan distance,0.1062,0.009075522380102504
10,3,0.3,mean_linear,Discrete metric,0.143,0.029760093087861615
10,3,0.3,mean_linear,Quadratic distance,0.6104,0.0024266082393768714
10,3,0.3,mean_linear,Manhattan distance,0.2466,0.00873511264316249
10,3,0.3,mean_skewed,Discrete metric,0.2966,0.025822199586742273
10,3,0.3,mean_skewed,Quadratic distance,0.6392,0.007887654132196092
10,3,0.3,mean_skewed,Manhattan distance,0.0642,0.011718351293382695
10,3,1.0,coord_avg,Discrete metric,0.6454,0.005964960832291332
10,3,1.0,coord_avg,Quadratic distance,0.2748,0.013227789115120863
10,3,1.0,coord_avg,Manhattan distance,0.0798,0.008893352917326475
10,3,1.0,coord_max,Discrete metric,0.2782,0.015006010774900415
10,3,1.0,coord_max,Quadratic distance,0.5474,0.002935404714294607
10,3,1.0,coord_max,Manhattan distance,0.1744,0.003498178982097666
10,3,1.0,mean_linear,Discrete metric,0.4002,0.010570494511667623
10,3,1.0,mean_linear,Quadratic distance,0.3266,0.003811252087425217
10,3,1.0,mean_linear,Manhattan distance,0.2732,0.004589094832828105
10,3,1.0,mean_skewed,Discrete metric,0.5962,0.008284049793236452
10,3,1.0,mean_skewed,Quadratic distance,0.3164,0.015447383126569656
10,3,1.0,mean_skewed,Manhattan distance,0.0874,0.011081758870393926
10,3,3.0,coord_avg,Discrete metric,0.9666,0.0004481252323230771
10,3,3.0,coord_avg,Quadratic distance,0.0194,0.0169731757373755
10,3,3.0,coord_avg,Manhattan distance,0.014,0.011122722772513338
10,3,3.0,coord_max,Discrete metric,0.6374,0.002974545777775756
10,3,3.0,coord_max,Quadratic distance,0.1996,0.005278485171714969
10,3,3.0,coord_max,Manhattan distance,0.163,0.003607583609530601
10,3,3.0,mean_linear,Discrete metric,0.692,0.0021171020601796933
10,3,3.0,mean_linear,Quadratic distance,0.135,0.005022253575331036
10,3,3.0,mean_linear,Manhattan distance,0.173,0.0038714748961326487
10,3,3.0,mean_skewed,Discrete metric,0.8586,0.0012901650614358185
10,3,3.0,mean_skewed,Quadratic distance,0.0772,0.018038346879617684
10,3,3.0,mean_skewed,Manhattan distance,0.0642,0.012054346771390693
10,3,10.0,coord_avg,Discrete metric,1.0,0.0
10,3,10.0,coord_avg,Quadratic distance,0.0,0.01717171717171919
10,3,10.0,coord_avg,Manhattan distance,0.0,0.01176789793224315
10,3,10.0,coord_max,Discrete metric,0.9456,0.00025248787289558743
10,3,10.0,coord_max,Quadratic distance,0.009,0.009187336357744757
10,3,10.0,coord_max,Manhattan distance,0.0454,0.00623525450259034
10,3,10.0,mean_linear,Discrete metric,0.9402,0.00017539759299267446
10,3,10.0,mean_linear,Quadratic distance,0.0092,0.007033730926325566
10,3,10.0,mean_linear,Manhattan distance,0.0506,0.0049209008088145064
10,3,10.0,mean_skewed,Discrete metric,0.9828,8.421169910735092e-05
10,3,10.0,mean_skewed,Quadratic distance,0.002,0.017070575335471634
10,3,10.0,mean_skewed,Manhattan distance,0.0152,0.011706475403405844
10,5,0.1,coord_avg,Discrete metric,0.019,0.04538408435703496
10,5,0.1,coord_avg,Quadratic distance,0.899,0.0013419544869057729
10,5,0.1,coord_avg,Manhattan distance,0.082,0.013495171179712545
10,5,0.1,coord_max,Discrete metric,0.0016,0.13816093306347146
10,5,0.1,coord_max,Quadratic distance,0.9564,0.0002984655310014823
10,5,0.1,coord_max,Manhattan distance,0.042,0.029341353148445517
10,5,0.1,mean_linear,Discrete metric,0.0273,0.06185777116785016
10,5,0.1,mean_linear,Quadratic distance,0.8701,0.0014102004052788729
10,5,0.1,mean_linear,Manhattan distance,0.1026,0.014410136671810398
10,5,0.1,mean_skewed,Discrete metric,0.11,0.04744379183583766
10,5,0.1,mean_skewed,Quadratic distance,0.85,0.0042874368574818186
10,5,0.1,mean_skewed,Manhattan distance,0.04,0.016095994913740152
10,5,0.3,coord_avg,Discrete metric,0.1868,0.020560263661830742
10,5,0.3,coord_avg,Quadratic distance,0.6642,0.004652933791700413
10,5,0.3,coord_avg,Manhattan distance,0.149,0.007140727345216303
10,5,0.3,coord_max,Discrete metric,0.014,0.08370857877551029
10,5,0.3,coord_max,Quadratic distance,0.9644,0.0002456090785401456
10,5,0.3,coord_max,Manhattan distance,0.0216,0.01934841201219472
10,5,0.3,mean_linear,Discrete metric,0.1538,0.031113393705574772
10,5,0.3,mean_linear,Quadratic distance,0.6334,0.00392960249678345
10,5,0.3,mean_linear,Manhattan distance,0.2128,0.008179474358749383
10,5,0.3,mean_skewed,Discrete metric,0.271,0.027741207136078794
10,5,0.3,mean_skewed,Quadratic distance,0.6452,0.01143416817503929
10,5,0.3,mean_skewed,Manhattan distance,0.0838,0.014097911491041545
